1	0	12500000
1	12500000	25000000
1	25000000	50000000
1	50000000	75000000
1	75000000	100000000
1	100000000	200000000
1	200000000	249250621
2	0	100000000
2	100000000	200000000
2	200000000	243199373
3	0	100000000
3	100000000	198022430
4	0	100000000
4	100000000	191154276
5	0	100000000
5	100000000	180915260
6	0	100000000
6	100000000	171115067
7	0	100000000
7	100000000	159138663
8	0	100000000
8	100000000	146364022
9	0	100000000
9	100000000	141213431
10	0	100000000
10	100000000	135534747
11	0	100000000
11	100000000	135006516
12	0	100000000
12	100000000	133851895
13	0	100000000
13	100000000	115169878
14	0	100000000
14	100000000	107349540
15	0	100000000
15	100000000	102531392
16	0	90354753
17	0	81195210
18	0	78077248
19	0	59128983
20	0	63025520
21	0	48129895
22	0	51304566
